Symbol,Name,Asset Class,Assets,Avg. Daily Volume,Price,Inverse,Leveraged,Smart Beta,Currency Hedged,1 Week Returns,1 Month Returns,YTD Price Change,1 Year Returns,3 Year Returns,5 Year Returns,1 Week FF,4 Week FF,YTD FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Annual Dividend Rate,Dividend Date,Dividend, Annual Dividend Yield %, Dividend Frequency, Standard Deviation,P/E Ratio,Beta,5-Day Volatility,20-Day Volatility,50-Day Volatility,200-Day Volatility,Issuer,# of Holdings,% In Top 10,% In Top 15,% In Top 50,ST Cap Gains,LT Cap Gains,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity,Expenses,Performance,Volatility,ETF Database Pro,Dividend.1,Concentration,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),ESG Exclusion Criteria (%),Sustainable Impact Solutions (%),Type
SPY,SPDR S&P 500 ETF Trust,Equity,539809000000,72214727,513.88,False,False,False,False,-4.68%,-8.85%,-12.06%,5.10%,6.48%,14.44%,5259.827278,6030.283681,-10753.799857,24328.37062,66893.140103,72235.62575,Large Cap Growth Equities,1993-01-22,0.09%,7.17,2025-03-21,1.70,1.34%,Quarterly,31.07%,17.86,1.0,174.33%,50.73%,34.87%,26.51%,State Street,504,33.13%,39.35%,58.33%,40%,20%,1099,494.96,586.31,507.66,520.90,39.22,A+,A-,B,B+,A,A-,A-,6.42,40.31%,48.54%,94.24,12.28%,7.07%,Equity
IVV,iShares Core S&P 500 ETF,Equity,522843000000,7569840,516.38,False,False,False,False,-4.64%,-8.89%,-12.01%,5.20%,6.55%,14.52%,-2536.942198,-10094.071373,11117.798716,87081.23444,154648.539656,187521.559511,Large Cap Growth Equities,2000-05-15,0.03%,7.74,2025-03-18,1.77,1.44%,Quarterly,31.31%,19.66,1.0,110.70%,47.61%,33.03%,25.27%,BlackRock Inc.,505,33.61%,39.77%,58.57%,40%,20%,1099,496.94,589.07,510.12,523.35,38.79,A,A,B,B+,A,A-,A-,6.42,39.79%,48.49%,94.23,12.22%,7.03%,Equity
VTI,Vanguard Total Stock Market ETF,Equity,420055000000,4430770,252.60,False,False,False,False,-4.37%,-9.06%,-12.53%,4.39%,5.70%,14.08%,915.466289,3961.115805,12324.109129,31356.51569,79851.237935,156868.123189,Large Cap Growth Equities,2001-05-24,0.03%,3.75,2025-03-27,0.99,1.42%,Quarterly,15.77%,19.1,1.02,140.36%,49.67%,34.36%,26.23%,Vanguard,3548,32.37%,37.99%,54.05%,40%,20%,1099,242.46,288.77,249.53,256.09,38.95,A,A,B-,B,A,B+,A,6.29,19.54%,43.56%,93.82,11.26%,6.62%,Equity
VOO,Vanguard S&P 500 ETF,Equity,573621000000,8291738,472.37,False,False,False,False,-4.66%,-8.87%,-12.03%,5.18%,6.55%,14.52%,1718.630432,14345.153771,49720.678567,134180.44273,234645.87368,299394.241922,Large Cap Growth Equities,2010-09-07,0.03%,6.97,2025-03-27,1.81,1.42%,Quarterly,28.64%,20.1,1.0,125.98%,46.58%,32.46%,24.89%,Vanguard,505,33.57%,39.74%,58.52%,40%,20%,1099,454.70,538.85,466.64,478.80,38.73,A,A,B,B+,A,A-,A-,6.39,33.15%,47.36%,92.4,12.37%,6.82%,Equity
QQQ,Invesco QQQ Trust Series I,Equity,274524000000,46297801,433.11,False,False,False,False,-5.33%,-9.50%,-15.15%,5.09%,9.01%,16.01%,-2218.7828,2853.69205,5049.68585,24273.77275,44189.53405,73382.76635,Large Cap Growth Equities,1999-03-10,0.20%,2.99,2025-03-24,0.72,0.64%,Quarterly,30.08%,22.7,1.11,149.48%,56.44%,40.17%,31.53%,Invesco,102,48.61%,57.94%,85.40%,40%,20%,1099,415.26,499.35,427.67,438.82,39.25,A,B+,A,C+,B+,B-,B-,6.37,29.17%,46.44%,58.06,9.69%,9.04%,Equity
VEA,Vanguard FTSE Developed Markets ETF,Equity,145856000000,14007959,50.51,False,False,False,False,1.06%,-3.50%,6.11%,8.91%,5.55%,11.24%,4.084825,490.917845,2582.343559,10480.231804,27841.50957,48389.456157,Foreign Large Cap Equities,2007-07-20,0.03%,1.56,2025-03-21,0.24,3.03%,Quarterly,1.43%,12.6,0.89,120.05%,39.24%,27.51%,21.26%,Vanguard,3898,11.03%,14.81%,30.29%,40%,20%,1099,46.24,53.65,50.08,51.04,51.09,A,A,B+,B-,A,B,A,7.47,38.33%,87.57%,105.2,11.70%,6.74%,Equity
IEFA,iShares Core MSCI EAFE ETF,Equity,127183000000,12530878,75.03,False,False,False,False,1.12%,-3.84%,6.76%,9.57%,6.36%,11.12%,0.0,163.20072,1092.31752,8839.3822,17534.71964,38026.58734,Foreign Large Cap Equities,2012-10-18,0.07%,2.44,2024-12-17,1.13,3.19%,Semi-Annually,2.27%,13.05,0.87,123.84%,40.35%,28.25%,21.75%,BlackRock Inc.,2614,10.97%,15.00%,31.98%,40%,20%,1099,68.99,79.64,74.40,75.76,50.94,A,A,B+,B,A,B,A,7.53,45.83%,88.99%,86.58,12.61%,7.37%,Equity
VTV,Vanguard Value ETF,Equity,126218000000,3214490,158.75,False,False,False,False,-3.18%,-7.93%,-5.68%,4.18%,4.34%,13.33%,170.777908,102.613363,3259.005242,10645.455021,13350.753452,42069.022546,Large Cap Value Equities,2004-01-26,0.04%,3.92,2025-03-27,1.01,2.40%,Quarterly,7.57%,15.8,0.89,116.28%,37.63%,26.11%,20.20%,Vanguard,332,21.65%,27.37%,53.23%,40%,20%,1099,152.57,178.36,156.82,160.94,39.68,A+,A,B+,A,A+,B+,A,6.5,55.19%,51.70%,170.33,16.30%,2.65%,Equity
VUG,Vanguard Growth ETF,Equity,139401000000,1771675,342.44,False,False,True,False,-5.55%,-9.32%,-16.46%,6.73%,8.52%,15.24%,115.678554,2347.759381,6632.786365,16894.290948,32918.022438,38954.872214,Large Cap Growth Equities,2004-01-26,0.04%,1.94,2025-03-27,0.50,0.54%,Quarterly,26.91%,28.8,1.11,150.41%,56.03%,40.09%,31.46%,Vanguard,166,57.14%,65.38%,83.07%,40%,20%,1099,327.91,395.44,337.73,347.29,39.16,A,A,A,C+,A-,B-,B+,6.26,16.38%,42.48%,28.28,8.96%,9.84%,Equity
VWO,Vanguard FTSE Emerging Markets ETF,Equity,79730300000,9780005,43.35,False,False,False,False,-0.34%,-6.16%,-1.47%,9.42%,2.48%,7.40%,3.580814,13.950525,578.728766,658.775588,4278.821505,18730.928123,Emerging Markets Equities,2005-03-04,0.07%,1.42,2025-03-21,0.05,3.18%,Quarterly,1.71%,10.9,0.69,97.72%,37.14%,27.07%,21.49%,Vanguard,4832,24.52%,28.21%,40.74%,40%,20%,1099,40.26,47.42,43.05,43.66,45.97,A,A+,B+,B-,A+,B,A+,5.79,12.28%,31.87%,389.28,2.47%,4.31%,Equity
