Ticker,Benchmark Ticker
SPY,^GSPC
IVV,^GSPC
VTI,^CRSPTMI
VOO,^GSPC
QQQ,^NDX
VEA,^FTSE
IEFA,^MXEA
VTV,^CRSPLV
VUG,^CRSPLG
VWO,^FTEMI
IEMG,^MIMCEM
IWF,^RLG
IJR,^SML
IWM,^RUT
IJH,^MID
VIG,^DAA
EFA,^MXEA
IWD,^RLV
VO,^CRSPMC
VGT,^IX3510
VXUS,^FTGCXUS
VB,^CRSPSC
XLK,^IXT
ITOT,^SPTM
XLF,^IXM
VYM,^FTHDY
IVW,^SPXG
VEU,^AWXUS
SCHX,^DJUSLC
XLV,^IXV
IXUS,^MSACWXUS
IWR,^MID
IWB,^RUI
RSP,^SPXEW
SCHD,^DJUSDIV
EEM,^MXEF
DIA,^DJI
USMV,^MSUSMV
SCHF,^FTDEUXUS
VV,^CRSPLC
VBR,^CRSPSCV
XLE,^IXE
VT,^FTGC
QUAL,^MSUSQN
SCHB,^DJUSBT
IVE,^SPXV
XLY,^IXY
MDY,^MID
VGK,^FTEU
DGRO,^MUSDIV
SDY,^SPHYDA
ARKK,^NDX
DVY,^DJDVY
VXF,^SPX
XLI,^IXI
SCHA,^DJSML
TQQQ,^NDX
SCHG,^DJUSGL
ACWI,^MSACWI
VBK,^CRSPSCG
IWN,^RU20VATR
MTUM,^MSUSAMF
IWP,^RU10GRTR
VHT,^IX3510
VLUE,^MSUSAVF
VOE,^CRSPMCV
SCZ,^MXEA
EFV,^MXEF
SPYG,^SPXG
IWS,^RU10VATR
GDX,^NYSEARCA:GDM
GSLC,^GSLC
MGK,^RU10GRTR
SPLG,^GSPC
IUSG,^RU10GRTR
SPYV,^SPXV
EFG,^MXEA
IWO,^RU20GRTR
VOT,^CRSPMCG
IWV,^RU10TR
EWJ,^N225
FVD,^DJDVY
SPDW,^SPDW
XLU,^IXU
VFH,^IXM
XLP,^IXY
IUSV,^RU10VATR
FDN,^DJINET
SCHM,^DJUSMC
SCHV,^DJUSLV
VSS,^FTSC
IBB,^IX3510
SCHE,^FTEMI
IJS,^RU20VATR
NOBL,^SPDAUDT
IJJ,^RU10VATR
IYW,^IXT
SOXX,^SOX
KWEB,^KWEB
OEF,^RU10TR
FTCS,^NQUS500
IHI,^DJSMDQT
IJK,^SP400G
XLB,^IXM
EFAV,^MXEA
SPLV,^SP500LV
EZU,^MXEMU
VONG,^RLG
FNDX,^RLF
XBI,^SPSIBI
HDV,^MSUSHDV
VCR,^IXY
VOOG,^SPXG
FNDF,^RIFL
VTWO,^RUT
MOAT,^MOTI
EWT,^TWII
RDVY,^NASDVY
VONV,^RUV
ARKG,^ARKG
SKYY,^SKYY
ICLN,^S&PGLCE
FTEC,^IXT
DGRW,^WISDIV
SMH,^SOX
MCHI,^MXCN
IJT,^SP600G
INDA,^MXIN
IGV,^DJUSSW
GUNR,^MSCIACWI
VDC,^IXR
QLD,^NDX
VDE,^IXE
SPEM,^FTEMI
LIT,^LIT
SPTM,^SPTM
CIBR,^CIBR
PRF,^RFI
IXN,^IXN
AMLP,^AMZ
KRE,^KRE
VPL,^FTSEAPXJ
IEUR,^MXEA
ACWV,^MSACWI
ARKW,^ARKW
VIS,^IXI
SPMD,^SP400
SPYD,^SP500HD
FXI,^HSI
QYLD,^NDX
FNDE,^RAFIEMLC
GDXJ,^MVGDXJTR
FNDA,^RAFIUSSC
VPU,^MSCIUSUTIL
SSO,^GSPC
EWY,^M1KR2550
EWZ,^M1BR2550
AAXJ,^MSCIACAXJ
MGV,^CRSPMCV
ONEQ,^IXIC
SPSM,^SP600
ACWX,^MSCIACWIEXUS
VOX,^MSCIUSCOMM
IWY,^RUT200G
SOXL,^SOX
MGC,^CRSPMC
SLYV,^SP600V
IDV,^DJIDV
DBEF,^MSCIEMUEQH
XSOE,^FTSEDEVEXSOE
XT,^MSCIACWIINNO
EWC,^M1CA2550
SUSA,^MSCIUSAESG
IQLT,^MSCIWQ
QTEC,^NDXT
TAN,^MACSG
JETS,^NYSEARCAJETS
IGM,^DJUSIT
DSI,^MSCIUSAESG
XOP,^SPXEP
SCHC,^FTSEDEVSC
EEMV,^MSCIEMMV
IOO,^S&PGL100
FAS,^SPXFN
RPG,^SP500G
IXJ,^SPG1200HC
KBE,^SPXRBK
UPRO,^GSPC
SPXL,^GSPC
KBWB,^KBWBNK
SPHQ,^SP500Q
HEFA,^MSCIEMUEQH
GSIE,^MSCIWESG
DLN,^WISDOMUSL
TECL,^SPXINFT
IGF,^S&PGLINFRA
DON,^WISDOMUSMD
FV,^DWAUSMOM
SPHD,^SP500LVHY
RPV,^SP500V
EWU,^MSCIUK
IYH,^R1000HC
FHLC,^MSCIUSHC
VONE,^R1000
FNDC,^RAFIINTSC
ITB,^DJUSHB
EWG,^MSCIDE
IYG,^DJUSFS
FEZ,^STOXX50E
ARKQ,
NFRA,^STOXXGBI
ITA,^DJUSAD
OIH,^MVISOS
JHMM,^JHMMIDX
SLYG,^SP600G
IYE,^DJUSEN
HACK,^ISECIBR
IYF,^DJUSFN
VOOV,^SP500V
EPP,^MSCIAPEXJ
GNR,^S&PGLNR
ASHR,^CSI300
XLG,^R1000
DGS,^WISINTSC
ILCG,^R1000G
HEDJ,^WISINTQDG
IEV,^S&P350
XHB,^SPHB
MDYG,^SP400G
PBW,^WILCLEAN
EMLP,^AlerianMLP
FXD,^DYNCONSUM
FNCL,^MSCIUSFIN
PRFZ,^RAFIUSSC
XME,^SPMETALS
DES,^WISDOMSC
VIOO,^SP600
RODM,^MSCIWEXUS
DEM,^WISDOMEM
DXJ,^WISJAPHDG
FXR,^DYNINDUS
IXC,^SPG1200EN
IYT,^DJUSTS
CWI,^MSCIACWIEXUS
URTH,^MSCIACWI
FDIS,^MSCIUSCD
EUFN,^MSCIEMUF
TDIV,^NASDTECHDIV
SQQQ,^NDX
FDL,^WISDOMUSL
EWL,^M1CH2550
MDYV,^SP400V
SPHB,^SP500HB
IVOO,^SP400
CQQQ,^FTXICT
FXO,^R1000FIN
TNA,^RUT
URA,^URA
IYC,^R1000CD
